"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"1",129877.389005783,353355.876923498,324201.882905627,20.0013332545405,21.9679304390542,20.5523788428958
"2",115502.835346738,310199.57903952,274191.362368596,20.3727643817478,22.092463571404,21.2750483378387
"3",121990.776749221,301797.108008898,270830.219262098,20.8414410606954,22.7382930262678,21.5238077798865
"4",108592.364347358,275236.397950102,260335.068869709,21.294115723314,23.0552645200923,21.9467610153276
"5",110319.459297636,293427.725414051,270817.024668644,20.6433887240818,22.6222232957274,21.4555857151129
"6",112045.665948878,281964.594853552,260040.645831075,20.6329800878017,22.6771461800824,21.4499366359943
"7",122690.541703666,303054.027292057,284287.620271904,20.5372597765556,22.4757429207186,21.1267615033224
"8",128110.073732463,343775.33558964,306317.324108284,19.7282385372768,21.7859183904708,20.4612900564912
"9",123637.63021924,353463.125363715,305038.958203124,19.2874670381841,21.2547662333778,20.2853311188271
"10",133029.680927952,326513.963989131,311031.802973058,19.9092780311066,21.8027367760574,20.6467130125608
"11",111167.501124007,257009.928658601,242767.544443082,21.2597997024852,22.9139796783089,21.8867892585484
"12",121074.417745942,308784.846182817,303044.903061816,20.5860497377371,22.6333406972917,21.0088171789112
"13",121908.978543152,283581.900681973,241819.948755196,21.4926547943158,23.4093299441656,22.2440347414726
"14",117263.532753294,273494.551205245,252143.578487525,21.9820123966849,23.6677922798248,22.4954723239943
"15",112504.118435557,278552.417229299,251827.656866618,21.4574427875008,23.0736947706853,22.2681262746067
"16",121123.202007455,304479.304450094,291185.636664727,20.1264700812706,22.1152008458903,20.6133212626626
"17",117989.09289843,309753.124594914,282234.814328848,19.9702611095194,21.9687256092344,20.6343366133714
"18",119220.954500577,303964.029134775,287743.676014104,20.428531762707,22.4810256242222,21.0481473471915
"19",122670.326774031,316607.325353104,307746.539208306,19.8653460117744,21.7856151507441,20.4469632533714
"20",130072.663698723,324801.110587785,303880.506849907,20.0473264217992,22.0843684275158,20.7720509260727
"21",117476.040268254,323092.522430965,291306.47711794,20.2342853688586,21.9678726777171,20.9127745993471
"22",130657.396548703,321653.591641103,302027.746505715,20.1684636998899,22.1664232556205,21.0809493209409
"23",119722.050397096,288533.762731072,284800.90720295,21.3753581185136,23.1356847220764,21.9214256567958
"24",128971.589239541,339056.208691824,309636.213645185,19.475749427408,21.8424594773903,20.1800870948433
"25",115604.376910709,292844.095648701,279060.01024893,20.6471309435359,22.537928793878,21.2817438123635
"26",110634.065883916,295943.090190399,256268.888238952,21.1967567804174,22.8319164166156,22.1249049036797
"27",108887.595295743,242961.965301724,225907.441683398,22.2465280844205,23.5936593587348,22.9971054875566
"28",113995.369964015,281913.749657227,256301.737744928,21.3455669799937,23.2451980327479,22.035732237863
"29",101233.730179993,238017.427485181,217825.909191313,22.3062804541313,23.6175689163985,23.054019300338
"30",120553.241498647,317527.721552301,281366.70365321,20.8298170403616,22.5849659440495,21.4552622535109
"31",123679.588759974,316643.723342959,272773.86346627,21.1556595595022,22.804637117899,22.1043919714866
"32",132285.841803641,333647.897149051,297380.329885653,19.4224006480528,21.5867678281367,20.2020983887628
"33",118969.516725056,310313.700525331,274291.189638101,20.8210301386691,22.6115331388214,21.4453985778276
"34",121727.176166242,337972.694510032,323287.121826801,18.852754585315,20.8771888735716,19.6286660069367
"35",122488.091198389,321805.84108594,313089.72519473,19.7671956006556,21.8282653233574,20.2946227173476
"36",122231.233534838,320608.983941497,288508.935692202,19.7452546774893,21.8081643343231,20.5716827684314
"37",119489.345630376,304876.979685892,283888.315361009,20.6426353083665,22.4488442358758,21.4751451681234
"38",128528.545986283,281800.035103177,254420.842291512,21.7271845246321,23.6736754688988,22.3385369854089
"39",132151.117257136,310796.521427325,302499.241888617,20.061801876749,22.2472178924493,20.4341067556075
"40",119240.929359671,325081.47632971,343508.362285067,19.9760791629737,21.8044500631,20.1987365698292
"41",121945.741591849,358551.478787893,330312.116252943,18.5036956261292,20.309853641035,19.2826154318586
"42",125143.373096365,349686.705416189,332137.734064307,19.3891559396442,21.073300300045,20.1085177474925
"43",126472.133236253,300983.557750902,276376.238323679,20.9510496914045,22.9339575035415,21.7207640460783
"44",112478.592750502,296016.171796019,258034.129762544,21.0956692519036,22.774517622801,22.1032896636486
"45",121934.506849873,318258.59308474,289070.209195215,20.0695659699707,21.977662957514,20.9786479234069
"46",121074.638306605,290015.187816133,275876.632288774,21.0549220019807,22.852359690897,21.6140821874331
"47",135742.932381588,339420.491985175,313634.955552274,19.5511347375681,21.8827608669046,20.2824332479167
"48",101507.754954514,250717.169834235,224089.351109424,21.9913242854738,23.5816524112636,22.7971145825837
"49",140216.49188246,340306.968928231,330434.642034202,19.8843693433887,22.0227981761021,20.3139063502255
"50",105976.550765682,304679.882873719,268607.457622307,20.5438778072219,22.200407436662,21.437786393987
"51",108485.427011101,290111.32912578,265966.946233209,20.4371938353075,22.1381660103307,21.2228912314799
"52",122540.787585083,317583.633922844,263573.263003602,21.1713464395113,22.8914961310576,22.1200509766514
"53",121264.202341346,301410.903320522,292118.702212881,20.3421650833138,22.2986775272508,21.0759010065104
"54",108591.971317663,261166.026102028,255876.461331801,21.2326948825443,23.0145726640556,21.8742625062517
"55",117666.346923522,291204.460948382,275938.72927706,20.2351166296788,22.2689628232826,21.0277154959951
